issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,blue_ball_1,blue_ball_2,sales_amount,jackpot_amount
25121,0,2,3,8,13,21,7,12,0,0
25120,"132,079",11,13,22,26,35,2,8,113,1229721100
25119,"194,720",8,15,27,29,31,1,7,83,1247363715
25118,"68,761",2,8,9,12,21,4,5,188,1209569201
25117,"49,320",5,10,18,21,29,5,7,249,1200034223
25116,"113,528",2,6,16,22,29,8,12,122,1245943636
25115,"233,905",3,12,14,21,35,1,5,79,1188143075
25114,"101,160",3,8,9,12,16,1,5,110,1144042318
25113,"193,019",1,14,18,28,35,2,3,82,1174480898
25112,"165,203",3,4,21,23,24,9,12,113,1222244292
25111,"101,012",2,9,14,21,26,2,12,152,1227497634
25110,"147,187",1,15,22,30,31,2,8,101,1216735503
25109,"95,406",4,8,10,13,26,9,10,157,1212757053
25108,"122,587",14,18,21,24,29,3,6,125,1188449971
25107,"115,382",5,7,8,15,33,6,10,111,1185080984
25106,"93,464",5,6,11,26,29,5,10,136,1199200033
25105,"280,822",15,16,25,28,34,10,12,75,1251025275
25104,"170,407",2,6,9,22,34,2,8,95,1199979893
25103,"85,006",5,8,19,32,34,4,5,162,1180433358
25102,"174,162",9,10,13,26,28,2,4,100,1157865481
25101,"91,574",5,7,19,26,32,8,9,141,1106707325
25100,"208,143",26,28,32,34,35,2,7,82,1140476607
25099,"43,436",6,12,20,26,31,2,4,301,1089336925
25098,"169,934",1,7,9,10,23,10,12,88,1129247144
25097,"281,700",5,24,25,32,34,1,9,63,1077551662
25096,"51,758",2,11,17,22,24,7,9,223,1040644815
25095,"54,829",7,13,14,19,27,6,10,201,1082529388
25094,"70,315",4,9,17,30,33,5,9,176,1116595094
25093,"108,929",1,7,9,16,30,2,5,126,1157754345
25092,"55,809",4,10,17,25,32,5,7,216,1153953579
25091,"362,728",1,19,22,25,27,3,10,49,1254338103
25090,"59,626",6,14,19,22,27,1,4,221,1200005188
25089,"87,488",2,11,12,32,34,3,10,170,1218712702
25088,"72,241",8,9,10,11,35,5,11,158,1540665716
25087,"78,989",5,13,14,16,20,3,8,149,1579681545
25086,"379,316",2,6,23,24,33,1,10,45,1646600668
25085,"217,226",2,5,9,14,33,4,9,71,1595323743
25084,"148,783",9,11,13,18,29,4,11,89,1790261424
25083,"145,052",12,17,18,20,34,2,5,98,1769075337
25082,"110,917",2,3,4,12,26,1,8,112,1735099174
25081,"229,037",1,4,6,15,18,2,3,75,1745616945
25080,"101,935",9,10,18,22,24,3,12,132,1723670049
25079,"387,849",2,14,32,34,35,5,11,42,1685844587
25078,"66,462",7,10,15,21,24,5,6,193,1653989427
25077,"297,434",12,14,16,19,28,1,4,61,1664896850
25076,"124,331",11,18,22,25,29,4,12,122,1612133475
25075,"86,993",8,12,16,19,35,6,9,142,1627185579
25074,"163,981",2,11,15,18,21,5,10,80,1661629014
25073,"76,908",1,4,17,33,34,3,9,158,1695259566
25072,"125,166",4,7,15,24,29,1,4,131,1739661641
25071,"211,711",1,8,25,31,33,5,11,65,1743326978
25070,"123,539",8,9,15,20,22,4,12,112,1718532211
25069,"269,001",4,6,7,33,34,9,10,71,1677561945
25068,"159,002",1,4,17,20,22,4,10,98,1628402090
25067,"101,197",6,10,12,21,22,1,6,156,1588528359
25066,"178,917",15,18,27,28,34,3,6,95,1579075869
25065,"123,549",7,25,32,33,35,4,9,103,1539171328
25064,"160,826",5,10,18,20,34,1,8,107,1534694450
25063,"122,650",5,18,26,29,32,7,10,102,1482278557
25062,"172,762",14,20,27,28,29,6,10,104,1525360041
25061,"99,022",2,11,16,23,28,5,10,141,1489857621
25060,"205,497",12,14,19,33,34,1,7,97,1530054633
25059,"81,352",3,9,10,11,26,1,2,165,1472810542
25058,"119,413",6,11,15,21,23,1,7,147,1457374217
25057,"100,021",9,10,11,12,29,1,10,191,1415654589
25056,"158,329",12,15,28,29,32,8,11,109,1375155245
25055,"194,591",8,10,25,29,30,1,2,110,1329842897
25054,"157,222",3,12,16,21,29,1,2,143,1305673258
25053,"238,046",14,23,29,30,33,6,12,88,1281475210
25052,"85,037",2,4,11,29,30,2,8,218,1261675357
25051,"89,634",2,4,13,29,31,5,12,156,1208341380
25050,"113,717",15,18,20,21,34,4,10,137,1220697850
25049,"227,748",9,20,22,29,34,3,8,78,1233463085
25048,"140,526",2,6,17,23,35,6,11,126,1258998704
25047,"105,515",3,10,11,12,21,2,3,167,1202271493
25046,"123,790",4,10,15,20,34,4,7,110,1213336580
25045,"126,988",8,11,21,23,27,3,8,140,1207089478
25044,"123,720",15,17,21,22,26,2,8,132,1237807813
25043,"132,632",3,16,20,21,27,9,11,143,1212466180
25042,"105,826",6,8,11,18,20,5,11,164,1157421362
25041,"128,409",3,4,21,22,27,5,11,109,1110680828
25040,"100,484",2,8,16,31,32,4,12,154,1147506477
25039,"192,059",3,7,14,15,19,6,10,99,1128975871
25038,"106,912",7,8,20,26,34,8,9,145,1098668136
25037,"202,241",5,20,23,27,31,4,6,78,1078059212
25036,"162,675",4,7,13,27,30,2,6,87,1044099471
25035,"167,168",22,25,28,29,30,4,8,85,1034539140
25034,"81,044",4,15,22,28,33,6,8,143,1046884586
25033,"144,899",1,2,8,10,33,10,12,107,1132503712
25032,"261,176",12,22,25,27,28,1,2,62,1094382586
25031,"247,703",14,18,20,25,35,1,7,72,1024377873
25030,"72,009",3,9,14,24,28,6,7,178,995094280
25029,"100,702",5,9,26,31,33,3,10,144,1043234948
25028,"127,524",6,8,20,25,29,3,7,103,1006966152
25027,"151,904",3,6,11,13,20,1,11,117,1035665608
25026,"161,515",2,3,7,17,30,1,9,80,1039296517
25025,"75,409",3,6,8,10,25,3,7,137,993864524
25024,"65,034",6,12,13,16,23,5,8,132,1035953603
25023,"178,006",10,20,22,24,25,9,12,93,1115584484
25022,"115,866",1,11,13,27,29,4,10,102,1103298038
25021,"117,927",10,18,25,30,35,3,12,115,1123599303
25020,"67,527",1,9,12,22,29,5,9,146,1132471892
25019,"56,096",7,8,11,18,23,3,11,199,1159248699
