issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,red_ball_6,blue_ball_1,sales_amount,jackpot_amount
25122,151,16,18,19,20,25,31,13,8503343,
25121,174,6,8,10,25,29,30,8,5876512,
25120,47,1,2,4,7,13,32,7,10000000,
25119,564,6,9,23,26,28,32,11,6119693,
25118,80,1,10,11,16,24,26,3,8065036,
25117,177,6,8,17,20,25,33,10,7503776,
25116,62,2,4,8,24,28,31,9,7424040,
25115,604,2,3,8,19,24,30,2,5465649,
25114,87,1,20,21,25,26,27,10,7433630,
25113,122,8,10,13,15,24,31,16,10000000,
25112,118,3,9,11,13,20,32,2,10000000,
25111,67,9,14,18,28,31,33,12,9473106,
25110,67,1,5,11,14,16,19,8,7963794,
25109,190,5,6,9,17,18,31,3,6182854,
25108,129,1,9,14,17,22,33,7,8303235,
25107,144,2,3,10,15,25,33,13,10000000,
25106,265,4,5,17,22,26,30,4,7761349,
25105,160,4,7,18,24,26,28,8,7802184,
25104,138,2,5,15,16,24,32,16,10000000,
25103,116,13,16,21,25,28,31,16,10000000,
25102,136,4,9,16,17,18,31,7,5969509,
25101,107,5,8,9,10,16,21,5,8116321,
25100,107,12,16,17,25,30,31,16,7099632,
25099,155,9,11,15,17,22,26,14,10000000,
25098,269,5,8,13,17,18,29,2,5510882,
25097,178,3,5,16,23,26,31,14,10000000,
25096,165,7,9,11,12,16,29,15,10000000,
25095,78,15,16,22,23,26,32,4,7368773,
25094,196,11,13,17,19,23,29,16,7778083,
25093,136,9,11,12,24,25,26,10,6161412,
25092,110,2,11,14,17,23,24,12,7508266,
25091,114,3,4,17,19,25,27,14,7525259,
25090,197,6,11,12,21,27,28,15,5406061,
25089,82,4,6,8,18,31,33,5,8555036,
25088,68,1,3,13,18,21,25,6,10000000,
25087,105,2,6,14,15,24,26,8,9688475,
25086,118,2,6,8,10,17,24,6,5994098,
25085,93,11,14,15,18,21,24,13,6339546,
25084,120,6,8,10,14,24,33,15,8609555,
25083,145,10,15,16,17,27,29,12,7106890,
25082,120,4,6,9,14,32,33,11,9506526,
25081,149,3,6,18,20,23,28,5,8415835,
25080,180,3,7,8,10,16,19,5,6390774,
25079,107,8,11,14,15,30,32,5,8447936,
25078,111,6,15,17,30,32,33,14,0,
25077,153,4,7,8,15,20,21,15,7448353,
25076,189,2,6,9,12,14,30,8,7403293,
25075,175,10,12,14,19,20,21,15,6293619,
25074,78,3,4,12,20,32,33,13,9211242,
